iter	Passed	Remaining
0	0	706
1	1	643
2	1	627
3	2	618
4	3	619
5	3	611
6	4	617
7	4	618
8	5	613
9	6	614
10	6	612
11	7	610
12	8	611
13	8	610
14	9	606
15	9	603
16	10	599
17	10	593
18	11	590
19	11	585
20	12	584
21	13	584
22	13	586
23	14	583
24	15	585
25	15	584
26	16	584
27	16	582
28	17	580
29	17	578
30	18	576
31	19	574
32	19	573
33	20	573
34	20	573
35	21	573
36	22	572
37	22	571
38	23	570
39	23	568
40	24	567
41	24	567
42	25	566
43	26	565
44	26	567
45	27	567
46	27	567
47	28	566
48	29	565
49	29	564
50	30	563
51	30	563
52	31	561
53	31	560
54	32	559
55	33	558
56	33	557
57	34	556
58	34	555
59	35	554
60	36	554
61	36	553
62	37	552
63	37	551
64	38	550
65	38	549
66	39	548
67	39	547
68	40	547
69	41	547
70	41	547
71	42	547
72	43	546
73	43	545
74	44	545
75	44	544
76	45	544
77	46	543
78	46	543
79	47	543
80	47	542
81	48	542
82	48	538
83	49	537
84	49	537
85	50	536
86	51	535
87	51	535
88	52	535
89	52	534
90	53	533
91	54	533
92	54	532
93	55	531
94	55	531
95	56	530
96	56	529
97	57	528
98	58	527
99	58	527
100	59	526
101	59	525
102	60	524
103	60	523
104	61	523
105	62	522
106	62	522
107	63	521
108	63	521
109	64	520
110	64	519
111	65	518
112	65	517
113	66	515
114	66	515
115	67	513
116	67	510
117	68	509
118	68	507
119	68	505
120	69	504
121	69	501
122	70	500
123	70	500
124	71	499
125	71	499
126	72	497
127	72	497
128	73	496
129	74	495
130	74	494
131	75	493
132	75	492
133	76	491
134	76	490
135	77	489
136	77	489
137	78	488
138	78	487
139	79	486
140	79	485
141	80	483
142	80	482
143	80	481
144	81	479
145	81	478
146	82	477
147	82	476
148	83	475
149	83	474
150	84	473
151	84	472
152	85	471
153	85	469
154	85	468
155	86	467
156	86	466
157	87	464
158	87	463
159	88	462
160	88	460
161	88	459
162	89	459
163	89	458
164	90	457
165	90	456
166	91	456
167	91	455
168	92	454
169	92	453
170	93	452
171	93	450
172	94	449
173	94	448
174	94	447
175	95	446
176	95	446
177	96	445
178	96	444
179	97	444
180	97	443
181	98	442
182	98	441
183	99	440
184	99	439
185	100	438
186	100	437
187	101	436
188	101	435
189	101	434
190	102	434
191	103	433
192	103	432
193	104	432
194	104	431
195	104	430
196	105	429
197	105	428
198	106	428
199	106	427
200	107	426
201	107	425
202	108	425
203	108	424
204	109	423
205	109	423
206	110	422
207	110	421
208	111	420
209	111	419
210	111	418
211	112	417
212	112	416
213	113	416
214	113	415
215	114	415
216	114	414
217	115	413
218	115	412
219	116	412
220	116	411
221	117	410
222	117	409
223	118	408
224	118	408
225	118	407
226	119	406
227	119	405
228	120	404
229	120	403
230	121	403
231	122	404
232	122	403
233	122	402
234	123	401
235	123	400
236	124	399
237	124	399
238	125	398
239	125	397
240	125	396
241	126	395
242	126	394
243	127	394
244	127	393
245	128	393
246	128	392
247	129	392
248	129	391
249	130	390
250	130	389
251	131	388
252	131	388
253	132	387
254	132	386
255	132	386
256	133	385
257	133	385
258	134	384
259	134	384
260	135	383
261	136	383
262	136	382
263	137	382
264	137	381
265	138	380
266	138	379
267	138	379
268	139	378
269	139	378
270	140	377
271	140	377
272	141	376
273	141	375
274	142	375
275	142	374
276	143	374
277	143	373
278	144	372
279	144	371
280	145	371
281	145	370
282	146	369
283	146	369
284	146	368
285	147	368
286	147	367
287	148	366
288	148	366
289	149	365
290	149	365
291	150	364
292	150	364
293	151	363
294	152	363
295	152	363
296	153	362
297	153	362
298	154	361
299	154	360
300	155	360
301	155	359
302	155	358
303	156	357
304	156	357
305	157	356
306	157	356
307	158	355
308	158	355
309	159	354
310	159	354
311	160	353
312	160	352
313	161	352
314	161	351
315	162	350
316	162	349
317	162	349
318	163	348
319	163	347
320	164	347
321	164	347
322	165	346
323	165	345
324	166	345
325	167	345
326	167	345
327	168	344
328	168	344
329	169	343
330	169	342
331	170	342
332	170	341
333	171	341
334	171	340
335	172	340
336	172	339
337	173	339
338	173	338
339	174	337
340	174	337
341	174	336
342	175	335
343	175	335
344	176	334
345	176	333
346	177	333
347	177	333
348	178	332
349	178	332
350	179	331
351	179	330
352	180	330
353	180	329
354	180	328
355	181	328
356	181	327
357	182	326
358	182	326
359	183	325
360	183	325
361	184	324
362	184	324
363	185	323
364	185	323
365	186	322
366	186	321
367	187	321
368	187	320
369	187	319
370	188	319
371	188	318
372	189	318
373	189	317
374	190	316
375	190	316
376	191	315
377	191	315
378	192	314
379	192	314
380	193	313
381	193	313
382	193	312
383	194	311
384	194	311
385	195	310
386	195	310
387	196	309
388	196	309
389	197	308
390	197	308
391	198	307
392	198	307
393	199	306
394	199	305
395	200	305
396	200	304
397	201	304
398	201	303
399	201	302
400	202	302
401	202	301
402	203	301
403	204	301
404	204	300
405	204	299
406	205	299
407	205	298
408	206	297
409	206	297
410	206	296
411	207	296
412	208	295
413	208	295
414	209	294
415	209	294
416	210	293
417	210	293
418	211	292
419	211	292
420	212	291
421	212	290
422	212	290
423	213	289
424	213	289
425	214	288
426	214	288
427	215	287
428	215	287
429	216	286
430	216	286
431	217	285
432	217	285
433	218	284
434	218	284
435	219	283
436	219	283
437	220	282
438	220	282
439	221	281
440	221	281
441	222	280
442	222	280
443	223	279
444	223	278
445	224	278
446	224	277
447	224	277
448	225	276
449	225	276
450	226	275
451	226	274
452	227	274
453	227	274
454	228	273
455	228	272
456	229	272
457	229	271
458	230	271
459	230	270
460	231	270
461	231	269
462	231	269
463	232	268
464	233	268
465	233	267
466	234	267
467	234	266
468	235	266
469	235	265
470	236	265
471	236	264
472	237	264
473	237	263
474	237	262
475	238	262
476	238	261
477	239	261
478	239	260
479	240	260
480	240	259
481	241	259
482	241	258
483	242	258
484	242	257
485	243	257
486	243	256
487	244	256
488	244	255
489	245	255
490	245	254
491	246	254
492	246	253
493	247	253
494	247	252
495	248	252
496	248	251
497	249	251
498	249	250
499	250	250
500	250	249
501	251	249
502	251	248
503	252	248
504	252	247
505	253	247
506	253	246
507	254	246
508	254	245
509	255	245
510	255	244
511	256	244
512	256	243
513	256	242
514	257	242
515	257	241
516	258	241
517	258	240
518	259	240
519	260	240
520	260	239
521	261	239
522	261	238
523	262	238
524	262	237
525	262	236
526	263	236
527	263	235
528	264	235
529	264	234
530	265	234
531	265	233
532	266	233
533	266	232
534	267	232
535	267	231
536	268	231
537	268	230
538	269	230
539	269	229
540	269	229
541	270	228
542	270	228
543	271	227
544	271	227
545	272	226
546	272	226
547	273	225
548	273	224
549	274	224
550	274	223
551	275	223
552	275	222
553	275	222
554	276	221
555	276	221
556	277	220
557	277	220
558	278	219
559	278	219
560	279	218
561	279	218
562	280	217
563	280	216
564	280	216
565	281	215
566	281	215
567	282	214
568	282	214
569	283	213
570	283	213
571	284	212
572	284	212
573	285	211
574	285	211
575	286	210
576	286	210
577	286	209
578	287	208
579	287	208
580	288	207
581	288	207
582	289	206
583	289	206
584	289	205
585	290	205
586	290	204
587	291	204
588	291	203
589	292	203
590	292	202
591	293	202
592	293	201
593	293	200
594	294	200
595	294	199
596	295	199
597	295	198
598	296	198
599	296	197
600	297	197
601	297	196
602	298	196
603	298	195
604	299	195
605	299	194
606	300	194
607	300	193
608	300	193
609	301	192
610	301	192
611	302	191
612	302	191
613	303	190
614	303	190
615	304	189
616	304	189
617	305	188
618	305	188
619	306	187
620	306	187
621	307	186
622	307	186
623	308	185
624	308	185
625	309	184
626	309	184
627	310	183
628	310	183
629	310	182
630	311	182
631	311	181
632	312	181
633	312	180
634	313	180
635	313	179
636	314	178
637	314	178
638	315	177
639	315	177
640	316	177
641	316	176
642	316	175
643	317	175
644	317	174
645	318	174
646	318	173
647	319	173
648	319	172
649	320	172
650	320	171
651	320	171
652	321	170
653	322	170
654	322	169
655	323	169
656	323	168
657	324	168
658	324	167
659	324	167
660	325	166
661	325	166
662	326	165
663	326	165
664	327	164
665	327	164
666	328	163
667	328	163
668	329	162
669	329	162
670	330	161
671	330	161
672	331	160
673	331	160
674	331	159
675	332	159
676	332	158
677	333	158
678	333	157
679	334	157
680	334	156
681	335	156
682	335	155
683	336	155
684	336	154
685	336	154
686	337	153
687	337	153
688	338	152
689	338	152
690	339	151
691	339	151
692	340	150
693	340	150
694	341	149
695	341	149
696	342	148
697	342	148
698	343	147
699	343	147
700	343	146
701	344	146
702	344	145
703	345	145
704	345	144
705	346	144
706	346	143
707	347	143
708	347	142
709	348	142
710	348	141
711	349	141
712	349	140
713	350	140
714	350	139
715	351	139
716	351	138
717	352	138
718	352	137
719	353	137
720	353	136
721	354	136
722	354	135
723	355	135
724	355	134
725	356	134
726	356	133
727	357	133
728	357	132
729	358	132
730	358	131
731	359	131
732	359	131
733	360	130
734	360	130
735	361	129
736	361	129
737	362	128
738	362	128
739	362	127
740	363	127
741	363	126
742	364	125
743	364	125
744	365	125
745	365	124
746	366	124
747	366	123
748	367	123
749	367	122
750	368	122
751	368	121
752	369	121
753	369	120
754	369	120
755	370	119
756	370	119
757	371	118
758	371	118
759	372	117
760	372	117
761	373	116
762	373	116
763	373	115
764	374	115
765	374	114
766	375	113
767	375	113
768	376	113
769	376	112
770	377	112
771	377	111
772	378	111
773	378	110
774	379	110
775	379	109
776	380	109
777	380	108
778	381	108
779	381	107
780	382	107
781	382	106
782	383	106
783	383	105
784	384	105
785	384	104
786	385	104
787	385	103
788	386	103
789	386	102
790	387	102
791	387	101
792	387	101
793	388	100
794	388	100
795	389	99
796	389	99
797	390	98
798	390	98
799	391	97
800	391	97
801	392	96
802	392	96
803	393	95
804	393	95
805	394	94
806	394	94
807	395	93
808	395	93
809	396	92
810	396	92
811	397	91
812	397	91
813	398	90
814	398	90
815	399	90
816	399	89
817	400	89
818	400	88
819	400	88
820	401	87
821	401	87
822	402	86
823	402	86
824	403	85
825	403	85
826	404	84
827	404	84
828	405	83
829	405	83
830	406	82
831	406	82
832	407	81
833	407	81
834	408	80
835	408	80
836	409	79
837	409	79
838	410	78
839	410	78
840	411	77
841	411	77
842	412	76
843	412	76
844	413	75
845	413	75
846	414	74
847	414	74
848	415	73
849	415	73
850	416	72
851	416	72
852	417	71
853	417	71
854	418	70
855	418	70
856	419	69
857	419	69
858	420	68
859	420	68
860	421	68
861	421	67
862	422	67
863	422	66
864	423	66
865	423	65
866	424	65
867	424	64
868	425	64
869	425	63
870	426	63
871	426	62
872	426	62
873	427	61
874	427	61
875	428	60
876	428	60
877	429	59
878	429	59
879	430	58
880	430	58
881	431	57
882	431	57
883	431	56
884	432	56
885	432	55
886	433	55
887	433	54
888	434	54
889	434	53
890	435	53
891	435	52
892	436	52
893	436	51
894	436	51
895	437	50
896	437	50
897	438	49
898	438	49
899	439	48
900	439	48
901	439	47
902	440	47
903	440	46
904	441	46
905	441	45
906	442	45
907	443	44
908	443	44
909	443	43
910	444	43
911	444	42
912	445	42
913	445	41
914	445	41
915	446	40
916	446	40
917	447	39
918	447	39
919	448	39
920	449	38
921	449	38
922	449	37
923	450	37
924	450	36
925	451	36
926	451	35
927	452	35
928	452	34
929	453	34
930	453	33
931	454	33
932	454	32
933	454	32
934	455	31
935	455	31
936	456	30
937	456	30
938	457	29
939	457	29
940	458	28
941	458	28
942	458	27
943	459	27
944	459	26
945	460	26
946	460	25
947	461	25
948	461	24
949	461	24
950	462	23
951	462	23
952	463	22
953	463	22
954	463	21
955	464	21
956	464	20
957	465	20
958	465	19
959	466	19
960	466	18
961	467	18
962	467	17
963	468	17
964	468	16
965	469	16
966	469	16
967	470	15
968	470	15
969	470	14
970	471	14
971	471	13
972	472	13
973	472	12
974	473	12
975	473	11
976	474	11
977	474	10
978	475	10
979	475	9
980	476	9
981	477	8
982	477	8
983	478	7
984	478	7
985	479	6
986	480	6
987	480	5
988	481	5
989	481	4
990	482	4
991	482	3
992	483	3
993	483	2
994	484	2
995	484	1
996	485	1
997	485	0
998	486	0
999	487	0
